year,horizon_scope,provenance_status,year_provenance,demand_total_t,demand_critical_t,served_total_t,served_critical_t,total_service_level,critical_service_level,opening_inventory_t,gross_supply_t,losses_t,losses_divided_by_throughput,overflow_t,closing_inventory_t,shortage_t,critical_shortage_t,reserve_requirement_t,reserve_actual_t,reserve_actual_days,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_mln,holding_mln,initial_stock_cost_mln,total_cost_mln,discounted_cost_mln,violations
2035,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",99.99999999999999,80.0,60.48333333333335,50.48333333333334,0.6048333333333336,0.6310416666666667,47.75,13.333333333333332,0.6,0.045000000000000005,0.0,0.0,39.51666666666667,29.516666666666666,12.328767123287669,47.75,174.28750000000002,1610.0,0.0,1243.0,63.0,0.0,8.409,452.5000000000001,2924.409,2924.409,"[""STRESS_CRITICAL_SERVICE_BENCHMARK"", ""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2036,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",140.0,105.0,117.78333333333335,105.0,0.841309523809524,1.0,0.0,123.33333333333337,5.55,0.044999999999999984,0.0,0.0,22.216666666666654,0.0,17.26027397260274,0.0,0.0,0,0.0,1059.5,72.0,0.0,0.0,0.0,1131.5,1077.6190476190475,"[""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2037,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",190.00000000000003,135.0,173.49166666666667,135.0,0.9131140350877192,1.0,0.0,181.66666666666666,8.174999999999997,0.044999999999999984,0.0,0.0,16.508333333333344,0.0,23.42465753424658,0.0,0.0,0,0.0,1432.0,95.25,0.0,0.0,0.0,1527.25,1385.2607709750566,"[""SOURCE_UNAVAILABLE"", ""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2038,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",287.5,195.49999999999991,257.4520833333333,195.49999999999991,0.8954855072463767,1.0,0.0,269.58333333333337,12.131250000000001,0.045,0.0,0.0,30.047916666666637,0.0,35.445205479452056,0.0,0.0,0,70.0,2270.75,110.25,0.0,0.0,0.0,2451.0,2117.2659540006475,"[""STRESS_LOSS_LIMIT"", ""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2039,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",368.00000000000006,241.49999999999997,325.49583333333334,241.49999999999997,0.8844995471014492,1.0,0.0,340.8333333333333,15.337499999999997,0.04499999999999999,0.0,0.0,42.50416666666668,0.0,45.36986301369864,0.0,0.0,0,70.0,2591.625,120.0,0.0,0.0,0.0,2781.625,2288.449771442968,"[""STRESS_LOSS_LIMIT"", ""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2040,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",448.49999999999994,287.5,397.91666666666663,287.5,0.8872166480862134,1.0,0.0,416.6666666666667,18.749999999999996,0.04499999999999999,0.0,0.0,50.583333333333286,0.0,55.2945205479452,0.0,0.0,0,70.0,2493.5,124.5,0.0,0.0,0.0,2688.0,2106.118335467217,"[""STRESS_LOSS_LIMIT"", ""STRESS_TOTAL_SERVICE_BENCHMARK""]"
