year,demand_total_t,demand_critical_t,served_total_t,served_critical_t,total_service_level,critical_service_level,opening_inventory_t,gross_supply_t,losses_t,losses_divided_by_throughput,overflow_t,closing_inventory_t,shortage_t,critical_shortage_t,reserve_requirement_t,reserve_actual_t,reserve_actual_days,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_mln,holding_mln,total_cost_mln,discounted_cost_mln,violations
2035,99.99999999999999,80.0,100.00000000000001,80.0,1.0000000000000002,1.0,60.0,60.0,2.6999999999999997,0.045,0.0,17.300000000000004,0.0,0.0,12.328767123287669,60.0,219.00000000000003,1610.0,0.0,1917.0,67.5,0.0,20.952000000000005,3615.452,3615.452,[]
2036,140.0,105.0,140.0,105.0,1.0,1.0,17.300000000000004,153.33333333333334,1.8399999999999999,0.011999999999999999,0.0,28.793333333333344,0.0,0.0,17.26027397260274,17.300000000000004,45.103571428571435,180.0,12.0,974.5,68.25,0.0,23.312000000000005,1258.062,1198.1542857142856,[]
2037,190.00000000000003,135.0,190.00000000000003,135.0,1.0,1.0,28.793333333333344,199.66666666626662,2.3959999999952,0.012000000000000004,0.0,36.063999999604754,0.0,0.0,23.42465753424658,28.793333333333344,55.31350877192984,0,12.0,1332.79999999716,88.5,0.0,22.321119999869566,1455.6211199970296,1320.2912653034282,[]
2038,250.00000000000003,170.0,250.0,170.0,0.9999999999999999,1.0,36.063999999604754,261.83333333333326,3.142,0.012000000000000004,0.0,44.75533333293812,0.0,0.0,30.821917808219183,36.063999999604754,52.653439999422936,0,82.0,1630.6000000000001,94.5,0.0,26.615079999715437,1833.7150799997155,1584.0320310979075,[]
2039,320.0,210.0,320.00000000000006,210.0,1.0000000000000002,1.0,44.75533333293812,332.7833333333333,3.9934000000000007,0.012000000000000004,0.0,53.54526666627136,0.0,0.0,39.45205479452055,44.75533333293812,51.04905208288255,0,82.0,1951.9000000028398,105.0,0.0,33.456675999715415,2172.3566760025556,1787.2032134779686,[]
2040,390.0,250.00000000000003,390.00000000000006,250.00000000000003,1.0000000000000002,1.0,53.54526666627136,386.5499999996,4.6385999999952,0.011999999999999999,0.0,45.456666665876085,0.0,0.0,48.082191780821915,53.54526666627136,50.11287777740781,0,82.0,1039.9999999971603,30.0,0.0,34.618115999573085,1186.6181159967334,929.7463434889455,[]
