year,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_in_procurement_mln,holding_mln,initial_stock_procurement_mln,initial_stock_reservation_mln,total_cost_mln,discounted_cost_mln
2035,0,0.0,1063.5000000000002,102.5,31.0000000000001,6.753374999999999,279.0000000000001,20.250000000000007,1172.7533750000002,1172.7533750000002
2036,180.0,12.0,1077.0,96.5,0.0,0.0,0.0,0.0,1365.5,1300.4761904761904
2037,0,12.0,1383.0,104.25,0.0,0.0,0.0,0.0,1499.25,1359.8639455782313
2038,0,12.0,2789.875,111.25,0.0,0.0,0.0,0.0,2913.125,2516.466904222006
2039,0,12.0,3399.625,121.25,0.0,0.0,0.0,0.0,3532.875,2906.5050056303694
2040,0,12.0,2157.0,130.0,0.0,0.0,0.0,0.0,2299.0,1801.3266567109868
