year,horizon_scope,provenance_status,year_provenance,demand_total_t,demand_critical_t,served_total_t,served_critical_t,total_service_level,critical_service_level,opening_inventory_t,gross_supply_t,losses_t,losses_divided_by_throughput,overflow_t,closing_inventory_t,shortage_t,critical_shortage_t,reserve_requirement_t,reserve_actual_t,reserve_actual_days,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_mln,holding_mln,initial_stock_cost_mln,total_cost_mln,discounted_cost_mln,violations
2035,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",99.99999999999999,80.0,50.93333333333335,44.26666666666668,0.5093333333333336,0.5533333333333335,38.2,13.333333333333332,0.6,0.045000000000000005,0.0,0.0,49.06666666666668,35.733333333333334,12.328767123287669,38.2,139.43000000000004,0,0.0,1092.0,64.0,0.0,5.313999999999999,362.0000000000001,1161.314,1161.314,"[""BASE_CRITICAL_SERVICE"", ""BASE_TOTAL_SERVICE""]"
2036,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",140.0,105.0,134.77999999999997,105.0,0.9627142857142855,1.0,0.0,142.5,1.7099999999999997,0.011999999999999999,0.0,6.010000000000003,5.219999999999999,0.0,17.26027397260274,0.0,0.0,180.0,12.0,1325.5,68.5,0.0,1.6054000000000006,0.0,1587.6054,1512.0051428571428,"[""BASE_TOTAL_SERVICE""]"
2037,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",190.00000000000003,135.0,179.73333333333335,135.0,0.9459649122807017,1.0,6.010000000000003,175.83333333333334,2.11,0.011999999999999999,0.0,0.0,10.266666666666664,0.0,23.42465753424658,6.010000000000003,11.545526315789479,0,12.0,1701.0,83.5,0.0,0.4227000000000005,0.0,1796.9227,1629.861859410431,"[""BASE_TOTAL_SERVICE""]"
2038,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",250.00000000000003,170.0,216.5366666666667,170.0,0.8661466666666666,1.0,0.0,219.16666666666669,2.630000000000001,0.012000000000000002,0.0,0.0,33.463333333333324,0.0,30.821917808219183,0.0,0.0,0,12.0,2121.0000000000005,99.25,0.0,0.0,0.0,2232.2500000000005,1928.3014793218877,"[""BASE_TOTAL_SERVICE"", ""EMERGENCY_BASE_STREAK""]"
2039,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",320.0,210.0,211.59666666666664,204.64,0.6612395833333332,0.9744761904761904,0.0,214.1666666666666,2.569999999999999,0.011999999999999999,0.0,0.0,108.40333333333336,5.359999999999999,39.45205479452055,0.0,0.0,0,12.0,1783.5,106.0,0.0,0.0,0.0,1901.5,1564.3687558167633,"[""BASE_CRITICAL_SERVICE"", ""BASE_TOTAL_SERVICE""]"
2040,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",390.0,250.00000000000003,268.40666666666675,250.00000000000003,0.6882222222222224,1.0,0.0,271.66666666666674,3.2600000000000007,0.011999999999999999,0.0,0.0,121.59333333333328,0.0,48.082191780821915,0.0,0.0,0,12.0,2068.0,109.0,0.0,0.0,0.0,2189.0,1715.1387783994564,"[""BASE_TOTAL_SERVICE""]"
