year,horizon_scope,provenance_status,year_provenance,demand_total_t,demand_critical_t,served_total_t,served_critical_t,total_service_level,critical_service_level,opening_inventory_t,gross_supply_t,losses_t,losses_divided_by_throughput,overflow_t,closing_inventory_t,shortage_t,critical_shortage_t,reserve_requirement_t,reserve_actual_t,reserve_actual_days,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_mln,holding_mln,initial_stock_cost_mln,total_cost_mln,discounted_cost_mln,violations
2035,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",99.99999999999999,80.0,50.93333333333335,44.26666666666668,0.5093333333333336,0.5533333333333335,38.2,13.333333333333332,0.6,0.045000000000000005,0.0,0.0,49.06666666666668,35.733333333333334,12.328767123287669,38.2,139.43000000000004,0,0.0,1092.0,64.0,0.0,5.313999999999999,362.0000000000001,1161.314,1161.314,"[""STRESS_CRITICAL_SERVICE_BENCHMARK"", ""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2036,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",140.0,105.0,134.77999999999997,105.0,0.9627142857142855,1.0,0.0,142.5,1.7099999999999997,0.011999999999999999,0.0,6.010000000000003,5.219999999999999,0.0,17.26027397260274,0.0,0.0,180.0,12.0,1325.5,68.5,0.0,1.6054000000000006,0.0,1587.6054,1512.0051428571428,"[""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2037,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",190.00000000000003,135.0,179.73333333333335,135.0,0.9459649122807017,1.0,6.010000000000003,175.83333333333334,2.11,0.011999999999999999,0.0,0.0,10.266666666666664,0.0,23.42465753424658,6.010000000000003,11.545526315789479,0,12.0,1701.0,83.5,0.0,0.4227000000000005,0.0,1796.9227,1629.861859410431,"[""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2038,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",287.5,195.49999999999991,216.5366666666666,195.49999999999991,0.7531710144927534,1.0,0.0,219.16666666666669,2.630000000000001,0.012000000000000002,0.0,0.0,70.96333333333335,0.0,35.445205479452056,0.0,0.0,0,12.0,2427.0,99.25,0.0,0.0,0.0,2538.25,2192.635784472519,"[""EMERGENCY_BASE_STREAK"", ""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2039,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",368.00000000000006,241.49999999999997,211.5966666666666,211.50333333333327,0.5749909420289853,0.8757902001380261,0.0,214.1666666666666,2.569999999999999,0.011999999999999999,0.0,0.0,156.40333333333336,29.99666666666665,45.36986301369864,0.0,0.0,0,12.0,2229.375,106.0,0.0,0.0,0.0,2347.375,1931.1912217645936,"[""STRESS_CRITICAL_SERVICE_BENCHMARK"", ""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2040,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",448.49999999999994,287.5,268.4066666666667,268.4066666666667,0.5984541062801934,0.9335884057971016,0.0,271.66666666666674,3.2600000000000007,0.011999999999999999,0.0,0.0,180.09333333333325,19.093333333333305,55.2945205479452,0.0,0.0,0,12.0,2068.0,109.0,0.0,0.0,0.0,2189.0,1715.1387783994564,"[""STRESS_CRITICAL_SERVICE_BENCHMARK"", ""STRESS_TOTAL_SERVICE_BENCHMARK""]"
