year,horizon_scope,provenance_status,year_provenance,demand_total_t,demand_critical_t,served_total_t,served_critical_t,total_service_level,critical_service_level,opening_inventory_t,gross_supply_t,losses_t,losses_divided_by_throughput,overflow_t,closing_inventory_t,shortage_t,critical_shortage_t,reserve_requirement_t,reserve_actual_t,reserve_actual_days,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_mln,holding_mln,initial_stock_cost_mln,total_cost_mln,discounted_cost_mln,violations
2035,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",99.99999999999999,80.0,63.666666666666686,53.66666666666668,0.6366666666666669,0.6708333333333335,47.75,16.666666666666668,0.75,0.045,0.0,0.0,36.333333333333336,26.333333333333343,12.328767123287669,47.75,174.28750000000002,360.0,0.0,1287.5,71.5,0.0,8.480625,452.5000000000001,1727.480625,1727.480625,"[""STRESS_CRITICAL_SERVICE_BENCHMARK"", ""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2036,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",140.0,105.0,123.50000000000001,105.0,0.8821428571428572,1.0,0.0,125.00000000000004,1.5000000000000002,0.011999999999999999,0.0,0.0,16.49999999999998,0.0,17.26027397260274,0.0,0.0,180.0,12.0,1090.5,84.5,0.0,0.0,0.0,1367.0,1301.904761904762,"[""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2037,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",190.00000000000003,135.0,179.58166666666668,135.0,0.9451666666666666,1.0,0.0,186.24999999999994,2.235,0.012000000000000004,0.0,4.433333333333325,10.418333333333335,0.0,23.42465753424658,0.0,0.0,0,12.0,1481.0,103.0,0.0,0.9309999999999974,0.0,1596.931,1448.4634920634921,"[""ORDER_CAPACITY_EXCEEDED"", ""SOURCE_UNAVAILABLE"", ""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2038,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",287.5,195.49999999999991,272.84,195.49999999999991,0.9490086956521738,1.0,4.433333333333325,271.66666666666663,3.2599999999999993,0.011999999999999999,0.0,0.0,14.659999999999979,0.0,35.445205479452056,4.433333333333325,5.628405797101438,0,12.0,2315.125,129.0,0.0,0.2797999999999988,0.0,2456.4048,2121.9348234531903,"[""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2039,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",368.00000000000006,241.49999999999997,322.74666666666667,241.49999999999997,0.8770289855072463,1.0,0.0,326.66666666666663,3.9200000000000004,0.012000000000000002,0.0,0.0,45.25333333333336,0.0,45.36986301369864,0.0,0.0,0,12.0,2752.375,145.75,0.0,0.0,0.0,2910.125,2394.167039453725,"[""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2040,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",448.49999999999994,287.5,372.1466666666667,287.5,0.8297584541062804,1.0,0.0,376.66666666666663,4.519999999999999,0.011999999999999999,0.0,0.0,76.35333333333327,0.0,55.2945205479452,0.0,0.0,0,12.0,2746.5,153.5,0.0,0.0,0.0,2912.0,2281.628196756152,"[""STRESS_TOTAL_SERVICE_BENCHMARK""]"
