year,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_in_procurement_mln,holding_mln,initial_stock_procurement_mln,initial_stock_reservation_mln,total_cost_mln,discounted_cost_mln
2035,0,0.0,1201.0000000000002,100.50000000000001,124.0,8.409,434.0000000000001,45.000000000000014,1309.9090000000003,1309.9090000000003
2036,180.0,12.0,1090.5,74.25,0.0,0.0,0.0,0.0,1356.75,1292.142857142857
2037,0,12.0,1321.0000000000002,89.25,0.0,0.0,0.0,0.0,1422.2500000000002,1290.0226757369617
2038,0,12.0,1605.5,97.5,0.0,0.0,0.0,0.0,1715.0,1481.4814814814813
2039,0,12.0,2037.0,102.0,0.0,0.0,0.0,0.0,2151.0,1769.6330232773378
2040,0,12.0,2157.0,102.0,0.0,0.0,0.0,0.0,2271.0,1779.38792404987
