year,horizon_scope,provenance_status,year_provenance,demand_total_t,demand_critical_t,served_total_t,served_critical_t,total_service_level,critical_service_level,opening_inventory_t,gross_supply_t,losses_t,losses_divided_by_throughput,overflow_t,closing_inventory_t,shortage_t,critical_shortage_t,reserve_requirement_t,reserve_actual_t,reserve_actual_days,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_mln,holding_mln,initial_stock_cost_mln,total_cost_mln,discounted_cost_mln,violations
2035,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",99.99999999999999,80.0,52.52500000000001,44.19166666666668,0.5252500000000002,0.5523958333333334,42.975,10.0,0.45000000000000007,0.045000000000000005,0.0,0.0,47.47500000000001,35.80833333333334,12.328767123287669,42.975,156.85875000000001,0,0.0,1063.5000000000002,102.5,31.0000000000001,6.753374999999999,299.2500000000001,1172.7533750000002,1172.7533750000002,"[""BASE_CRITICAL_SERVICE"", ""BASE_TOTAL_SERVICE""]"
2036,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",140.0,105.0,116.91333333333334,105.0,0.8350952380952381,1.0,0.0,118.33333333333334,1.4200000000000004,0.012000000000000002,0.0,0.0,23.086666666666652,0.0,17.26027397260274,0.0,0.0,180.0,12.0,1077.0,96.5,0.0,0.0,0.0,1365.5,1300.4761904761904,"[""BASE_TOTAL_SERVICE""]"
2037,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",190.00000000000003,135.0,169.60666666666665,135.0,0.8926666666666665,1.0,0.0,171.66666666666666,2.06,0.012,0.0,0.0,20.393333333333338,0.0,23.42465753424658,0.0,0.0,0,12.0,1383.0,104.25,0.0,0.0,0.0,1499.25,1359.8639455782313,"[""BASE_TOTAL_SERVICE""]"
2038,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",250.00000000000003,170.0,241.58999999999997,170.0,0.9663599999999998,1.0,0.0,269.16666666666663,3.2300000000000004,0.012000000000000004,0.0,24.346666666666692,8.409999999999997,0.0,30.821917808219183,0.0,0.0,0,12.0,2328.5,111.25,0.0,5.843200000000006,0.0,2457.5932,2122.961408055285,"[""BASE_TOTAL_SERVICE""]"
2039,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",320.0,210.0,320.00000000000006,210.0,1.0000000000000002,1.0,24.346666666666692,336.66666666666663,4.04,0.012000000000000002,0.0,36.97333333333327,0.0,0.0,39.45205479452055,24.346666666666692,27.770416666666698,0,12.0,2871.5,121.25,0.0,18.71599999999999,0.0,3023.466,2487.4129606491115,[]
2040,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",390.0,250.00000000000003,340.78333333333325,250.00000000000003,0.8738034188034186,1.0,36.97333333333327,307.49999999999994,3.689999999999999,0.011999999999999999,0.0,0.0,49.216666666666775,0.0,48.082191780821915,36.97333333333327,34.60324786324781,0,12.0,2157.0,130.0,0.0,7.2806999999999755,0.0,2306.2807,1807.0312756711935,"[""BASE_TOTAL_SERVICE""]"
