plan_id,base_valid,base_cost_mln,base_cost_per_served_ton_mln,base_service,base_shortage_t,base_minimum_inventory_t,base_capex_mln,stress_service,stress_shortage_t,stress_critical_shortage_t,stress_minimum_inventory_t,source_mix_t,risk_consequences
cost-focused,True,11441.601547807655,8.231368020005508,1.0,0.0,17.300000000009504,1790.0,0.8987132225114424,155.37391666744747,0.0,0.0,"{""A"": 762.0, ""B"": 95.0, ""C"": 287.9999999992, ""D"": 231.16666666666666, ""E"": 0}",[]
diversified,True,11800.711947807655,8.489720825760903,1.0,0.0,17.300000000009504,1790.0,0.924475934375849,115.85391666744752,0.0,0.0,"{""A"": 780.0, ""B"": 117.0, ""C"": 287.9999999992, ""D"": 231.16666666666666, ""E"": 0}",[]
resilient,True,11820.555787807654,8.503996969645794,1.0,0.0,17.300000000009504,1790.0,0.9296284767487303,107.94991666744752,0.0,0.0,"{""A"": 810.0, ""B"": 95.0, ""C"": 287.9999999992, ""D"": 231.16666666666666, ""E"": 0}",[]
final-base-plan,True,10609.051509873529,7.632411158182395,1.0,0.0,9.915525114155358,1430.0,0.8584899120692017,217.0764748858446,7.268666666666643,0.0,"{""A"": 844.7368421052631, ""B"": 131.5260614282383, ""C"": 0, ""D"": 360.0, ""E"": 34.904013961605585}",[]
