plan_id,base_valid,base_cost_mln,base_cost_per_served_ton_mln,base_service,base_shortage_t,base_minimum_inventory_t,base_capex_mln,stress_service,stress_shortage_t,stress_critical_shortage_t,stress_minimum_inventory_t,source_mix_t,risk_consequences
cost-focused,True,11441.601547807657,8.231368020005508,1.0,0.0,17.300000000009504,1790.0,0.8987132225114421,155.3739166674475,0.0,0.0,"{""A"": 762.0, ""B"": 95.0, ""C"": 287.99999999920004, ""D"": 231.16666666666657, ""E"": 0}","[{""cost_delta_mln"": -66.05003839943129, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 5, ""likelihood_score"": null, ""risk_id"": ""R-ISRU-UNDERDELIVERY"", ""shortage_delta_t"": 46.200093334114236}, {""cost_delta_mln"": 411.6799999999985, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 2, ""likelihood_score"": 2, ""risk_id"": ""R-EARTH-PRICE"", ""shortage_delta_t"": 0.0}, {""cost_delta_mln"": -73.3564759991823, ""critical_shortage_delta_t"": 15.280600000000005, ""impact_score"": 5, ""likelihood_score"": null, ""risk_id"": ""R-CORE-OUTAGE"", ""shortage_delta_t"": 51.367333334114306}, {""cost_delta_mln"": 0.0, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 1, ""likelihood_score"": null, ""risk_id"": ""R-EARTH-NEW-DELAY"", ""shortage_delta_t"": 0.0}, {""cost_delta_mln"": -12.452492000000348, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 2, ""likelihood_score"": null, ""risk_id"": ""R-STORAGE-DEGRADATION"", ""shortage_delta_t"": 0.0}, {""cost_delta_mln"": -37.566579999673195, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 5, ""likelihood_score"": null, ""risk_id"": ""R-DEMAND-UPSIDE"", ""shortage_delta_t"": 43.32733333411431}, {""cost_delta_mln"": 0.0, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 1, ""likelihood_score"": null, ""risk_id"": ""R-LOGISTICS-DELAY"", ""shortage_delta_t"": 0.0}, {""cost_delta_mln"": 312.5, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 2, ""likelihood_score"": null, ""risk_id"": ""R-CAPEX-OVERRUN"", ""shortage_delta_t"": 0.0}]"
diversified,True,11800.711947807655,8.489720825760903,1.0,0.0,17.300000000009504,1790.0,0.9244759343758491,115.85391666744756,0.0,0.0,"{""A"": 780.0, ""B"": 117.0, ""C"": 287.99999999920004, ""D"": 231.16666666666657, ""E"": 0}","[{""cost_delta_mln"": -92.02825839959223, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 5, ""likelihood_score"": null, ""risk_id"": ""R-ISRU-UNDERDELIVERY"", ""shortage_delta_t"": 6.680093334114314}, {""cost_delta_mln"": 434.0, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 2, ""likelihood_score"": 2, ""risk_id"": ""R-EARTH-PRICE"", ""shortage_delta_t"": 0.0}, {""cost_delta_mln"": -91.90549799931614, ""critical_shortage_delta_t"": 9.467400000385705, ""impact_score"": 5, ""likelihood_score"": null, ""risk_id"": ""R-CORE-OUTAGE"", ""shortage_delta_t"": 29.4674000003857}, {""cost_delta_mln"": 0.0, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 1, ""likelihood_score"": null, ""risk_id"": ""R-EARTH-NEW-DELAY"", ""shortage_delta_t"": 0.0}, {""cost_delta_mln"": -12.982891999998174, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 1, ""likelihood_score"": null, ""risk_id"": ""R-STORAGE-DEGRADATION"", ""shortage_delta_t"": 0.0}, {""cost_delta_mln"": -48.47573999993256, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 3, ""likelihood_score"": null, ""risk_id"": ""R-DEMAND-UPSIDE"", ""shortage_delta_t"": 3.8073333341143822}, {""cost_delta_mln"": -3.91247999999905, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 1, ""likelihood_score"": null, ""risk_id"": ""R-LOGISTICS-DELAY"", ""shortage_delta_t"": 0.0}, {""cost_delta_mln"": 312.5, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 2, ""likelihood_score"": null, ""risk_id"": ""R-CAPEX-OVERRUN"", ""shortage_delta_t"": 0.0}]"
resilient,True,11820.555787807654,8.503996969645794,1.0,0.0,17.300000000009504,1790.0,0.9296284767487304,107.9499166674476,0.0,0.0,"{""A"": 810.0, ""B"": 95.0, ""C"": 287.99999999920004, ""D"": 231.16666666666657, ""E"": 0}","[{""cost_delta_mln"": -94.99086479999823, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 2, ""likelihood_score"": null, ""risk_id"": ""R-ISRU-UNDERDELIVERY"", ""shortage_delta_t"": 0.0}, {""cost_delta_mln"": 434.0, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 2, ""likelihood_score"": 2, ""risk_id"": ""R-EARTH-PRICE"", ""shortage_delta_t"": 0.0}, {""cost_delta_mln"": -115.99293799931547, ""critical_shortage_delta_t"": 11.1140666670524, ""impact_score"": 5, ""likelihood_score"": null, ""risk_id"": ""R-CORE-OUTAGE"", ""shortage_delta_t"": 31.1140666670524}, {""cost_delta_mln"": 0.0, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 1, ""likelihood_score"": null, ""risk_id"": ""R-EARTH-NEW-DELAY"", ""shortage_delta_t"": 0.0}, {""cost_delta_mln"": -13.238731999996162, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 1, ""likelihood_score"": null, ""risk_id"": ""R-STORAGE-DEGRADATION"", ""shortage_delta_t"": 0.0}, {""cost_delta_mln"": -48.600000000000364, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 2, ""likelihood_score"": null, ""risk_id"": ""R-DEMAND-UPSIDE"", ""shortage_delta_t"": 0.0}, {""cost_delta_mln"": 0.0, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 1, ""likelihood_score"": null, ""risk_id"": ""R-LOGISTICS-DELAY"", ""shortage_delta_t"": 0.0}, {""cost_delta_mln"": 312.5, ""critical_shortage_delta_t"": 0.0, ""impact_score"": 2, ""likelihood_score"": null, ""risk_id"": ""R-CAPEX-OVERRUN"", ""shortage_delta_t"": 0.0}]"
