year,horizon_scope,provenance_status,year_provenance,demand_total_t,demand_critical_t,served_total_t,served_critical_t,total_service_level,critical_service_level,opening_inventory_t,gross_supply_t,losses_t,losses_divided_by_throughput,overflow_t,closing_inventory_t,shortage_t,critical_shortage_t,reserve_requirement_t,reserve_actual_t,reserve_actual_days,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_mln,holding_mln,initial_stock_cost_mln,total_cost_mln,discounted_cost_mln,violations
2035,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",99.99999999999999,80.0,63.666666666666686,53.66666666666668,0.6366666666666669,0.6708333333333335,47.75,16.666666666666668,0.75,0.045,0.0,0.0,36.333333333333336,26.333333333333343,12.328767123287669,47.75,174.28750000000002,360.0,0.0,1287.5,71.5,0.0,8.480625,452.5000000000001,1727.480625,1727.480625,"[""BASE_CRITICAL_SERVICE"", ""BASE_TOTAL_SERVICE""]"
2036,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",140.0,105.0,123.50000000000001,105.0,0.8821428571428572,1.0,0.0,125.00000000000004,1.5000000000000002,0.011999999999999999,0.0,0.0,16.49999999999998,0.0,17.26027397260274,0.0,0.0,180.0,12.0,1090.5,84.5,0.0,0.0,0.0,1367.0,1301.904761904762,"[""BASE_TOTAL_SERVICE""]"
2037,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",190.00000000000003,135.0,179.58166666666668,135.0,0.9451666666666666,1.0,0.0,186.24999999999994,2.235,0.012000000000000004,0.0,4.433333333333325,10.418333333333335,0.0,23.42465753424658,0.0,0.0,0,12.0,1481.0,103.0,0.0,0.9309999999999974,0.0,1596.931,1448.4634920634921,"[""BASE_TOTAL_SERVICE"", ""ORDER_CAPACITY_EXCEEDED"", ""SOURCE_UNAVAILABLE""]"
2038,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",250.00000000000003,170.0,250.0,170.0,0.9999999999999999,1.0,4.433333333333325,271.66666666666663,3.2599999999999993,0.011999999999999999,0.0,22.840000000000032,0.0,0.0,30.821917808219183,4.433333333333325,6.472666666666653,0,12.0,1951.5000000000002,129.0,0.0,9.028000000000002,0.0,2101.528,1815.3789007666555,[]
2039,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",320.0,210.0,320.00000000000006,210.0,1.0000000000000002,1.0,22.840000000000032,326.66666666666663,3.9200000000000004,0.012000000000000002,0.0,25.58666666666665,0.0,0.0,39.45205479452055,22.840000000000032,26.051875000000038,0,12.0,2351.0,145.75,0.0,16.6432,0.0,2525.3932,2077.64723546259,[]
2040,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",390.0,250.00000000000003,390.00000000000006,250.00000000000003,1.0000000000000002,1.0,25.58666666666665,376.66666666666663,4.519999999999999,0.011999999999999999,0.0,7.7333333333333485,0.0,0.0,48.082191780821915,25.58666666666665,23.94649572649571,0,12.0,2746.5,153.5,0.0,10.019199999999996,0.0,2922.0192,2289.478502123233,[]
