year,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_in_procurement_mln,holding_mln,total_cost_mln,discounted_cost_mln
2035,1610.0,0.0,1917.0,67.5,0.0,20.952000000000005,3615.452,3615.452
2036,180.0,12.0,974.5,68.25,0.0,23.312000000000005,1258.062,1198.1542857142856
2037,0,12.0,1332.79999999716,88.5,0.0,22.321119999869566,1455.6211199970296,1320.2912653034282
2038,0,82.0,1894.1000000000001,94.5,0.0,8.631701399798429,2079.2317013997986,1796.118519727717
2039,0,82.0,2230.90000000284,105.0,0.0,0.0,2417.90000000284,1989.2123138016275
2040,0,82.0,1039.9999999971603,30.0,0.0,0.0,1151.9999999971603,902.6221437694396
