year,horizon_scope,provenance_status,year_provenance,demand_total_t,demand_critical_t,served_total_t,served_critical_t,total_service_level,critical_service_level,opening_inventory_t,gross_supply_t,losses_t,losses_divided_by_throughput,overflow_t,closing_inventory_t,shortage_t,critical_shortage_t,reserve_requirement_t,reserve_actual_t,reserve_actual_days,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_mln,holding_mln,initial_stock_cost_mln,total_cost_mln,discounted_cost_mln,violations
2035,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",99.99999999999999,80.0,100.00000000000001,80.0,1.0000000000000002,1.0,60.0000000000095,60.0,2.6999999999999997,0.045,0.0,17.300000000009504,0.0,0.0,12.328767123287669,60.0000000000095,219.00000000003473,1610.0,0.0,1934.52879581158,95.85000000000001,0.0,20.952000000006844,417.8787958115801,3661.330795811587,3661.330795811587,[]
2036,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",140.0,105.0,140.0,105.0,1.0,1.0,17.300000000009504,153.33333333333334,1.8399999999999999,0.011999999999999999,0.0,28.793333333342844,0.0,0.0,17.26027397260274,17.300000000009504,45.103571428596204,180.0,12.0,974.5,68.25,0.0,23.312000000006847,0.0,1258.062000000007,1198.1542857142922,[]
2037,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",190.00000000000003,135.0,190.00000000000003,135.0,1.0,1.0,28.793333333342844,199.66666666626662,2.3959999999952,0.012000000000000004,0.0,36.06399999961426,0.0,0.0,23.42465753424658,28.793333333342844,55.31350877194808,0,12.0,1332.79999999716,88.5,0.0,22.321119999876412,0.0,1455.6211199970364,1320.2912653034343,[]
2038,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",287.5,195.49999999999991,276.1562333329476,195.49999999999991,0.9605434202885134,1.0,36.06399999961426,243.00833333333333,2.9161,0.012,0.0,0.0,11.343766667052382,0.0,35.445205479452056,36.06399999961426,45.785599999510275,0,82.0,1894.1,94.5,0.0,8.631701399803276,0.0,2079.231701399803,1796.118519727721,"[""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2039,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",368.00000000000006,241.49999999999997,308.34245000000004,241.49999999999997,0.8378870923913043,1.0,0.0,312.0874999999999,3.745050000000001,0.012000000000000005,0.0,0.0,59.65755,0.0,45.36986301369864,0.0,0.0,0,82.0,2230.90000000284,105.0,0.0,0.0,0.0,2417.90000000284,1989.2123138016275,"[""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2040,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",448.49999999999994,287.5,381.9113999996048,287.5,0.8515304347817276,1.0,0.0,386.5499999996,4.6385999999952,0.011999999999999999,0.0,0.0,66.58860000039519,0.0,55.2945205479452,0.0,0.0,0,82.0,1039.99999999716,30.0,0.0,0.0,0.0,1151.99999999716,902.6221437694394,"[""STRESS_TOTAL_SERVICE_BENCHMARK""]"
