year,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_in_procurement_mln,holding_mln,initial_stock_procurement_mln,initial_stock_reservation_mln,total_cost_mln,discounted_cost_mln
2035,1250.0,0.0,2256.143126918417,115.0415203727555,0.0,29.119178082191798,312.1566377393674,22.656530158502473,3650.3038253733644,3650.3038253733644
2036,180.0,12.0,1178.0000000000002,85.5,0.0,29.377098082191832,0.0,0.0,1484.877098082192,1414.1686648401828
2037,0,12.0,840.22975708502,60.126012145808964,0.0,36.066618082191845,0.0,0.0,948.4223873130209,860.2470633224679
2038,0,82.0,1538.0000000000002,85.5,0.0,35.46811808219186,0.0,0.0,1740.9681180821922,1503.913718243984
2039,0,82.0,1543.791093117409,79.032995951477,0.0,35.31301808219185,0.0,0.0,1740.1371071510778,1431.6151045303777
2040,0,82.0,925.6184210526314,9.5328947368571,0.0,24.414258082191854,0.0,0.0,1041.5655738716805,816.0938812211982
