year,horizon_scope,provenance_status,year_provenance,demand_total_t,demand_critical_t,served_total_t,served_critical_t,total_service_level,critical_service_level,opening_inventory_t,gross_supply_t,losses_t,losses_divided_by_throughput,overflow_t,closing_inventory_t,shortage_t,critical_shortage_t,reserve_requirement_t,reserve_actual_t,reserve_actual_days,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_mln,holding_mln,initial_stock_cost_mln,total_cost_mln,discounted_cost_mln,violations
2035,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",99.99999999999999,80.0,71.62500000000001,59.95833333333334,0.7162500000000003,0.7494791666666668,52.525,20.0,0.9000000000000001,0.045000000000000005,0.0,0.0,28.375000000000004,20.04166666666667,12.328767123287669,52.525,191.71625000000003,1610.0,0.0,1314.5,72.75,0.0,10.49575,497.7500000000001,3007.74575,3007.74575,"[""STRESS_CRITICAL_SERVICE_BENCHMARK"", ""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2036,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",140.0,105.0,118.56,105.0,0.8468571428571429,1.0,0.0,120.0,1.4400000000000004,0.012000000000000004,0.0,0.0,21.439999999999984,0.0,17.26027397260274,0.0,0.0,180.0,12.0,1011.0,78.0,0.0,0.0,0.0,1281.0,1220.0,"[""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2037,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",190.00000000000003,135.0,178.66333333333333,135.0,0.9403333333333331,1.0,0.0,180.83333333333331,2.1700000000000004,0.012000000000000004,0.0,0.0,11.336666666666682,0.0,23.42465753424658,0.0,0.0,0,12.0,1392.5,102.5,0.0,0.0,0.0,1507.0,1366.8934240362812,"[""SOURCE_UNAVAILABLE"", ""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2038,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",287.5,195.49999999999991,248.23499999999996,195.49999999999991,0.8634260869565216,1.0,0.0,251.25000000000009,3.0149999999999997,0.011999999999999995,0.0,0.0,39.26499999999997,0.0,35.445205479452056,0.0,0.0,0,82.0,2073.75,114.5,0.0,0.0,0.0,2270.25,1961.1273080660833,"[""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2039,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",368.00000000000006,241.49999999999997,307.10333333333335,241.49999999999997,0.8345199275362318,1.0,0.0,310.8333333333333,3.7299999999999995,0.011999999999999999,0.0,0.0,60.89666666666665,0.0,45.36986301369864,0.0,0.0,0,82.0,2359.125,122.25,0.0,0.0,0.0,2563.375,2108.89495631964,"[""STRESS_TOTAL_SERVICE_BENCHMARK""]"
2040,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",448.49999999999994,287.5,378.73333333333335,287.5,0.8444444444444446,1.0,0.0,383.3333333333333,4.6000000000000005,0.012000000000000002,0.0,0.0,69.7666666666666,0.0,55.2945205479452,0.0,0.0,0,82.0,2263.0,130.0,0.0,0.0,0.0,2475.0,1939.2272620094357,"[""STRESS_TOTAL_SERVICE_BENCHMARK""]"
