year,horizon_scope,provenance_status,year_provenance,demand_total_t,demand_critical_t,served_total_t,served_critical_t,total_service_level,critical_service_level,opening_inventory_t,gross_supply_t,losses_t,losses_divided_by_throughput,overflow_t,closing_inventory_t,shortage_t,critical_shortage_t,reserve_requirement_t,reserve_actual_t,reserve_actual_days,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_mln,holding_mln,initial_stock_cost_mln,total_cost_mln,discounted_cost_mln,violations
2035,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",99.99999999999999,80.0,65.25833333333331,56.71249999999998,0.6525833333333332,0.7089062499999997,42.975,23.333333333333336,1.0499999999999998,0.044999999999999984,0.0,0.0,34.74166666666667,23.287500000000005,12.328767123287669,42.975,156.85875000000001,0,0.0,1270.0,69.5,0.0,6.8488750000000005,407.2500000000001,1346.348875,1346.348875,"[""BASE_CRITICAL_SERVICE"", ""BASE_TOTAL_SERVICE""]"
2036,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",140.0,105.0,123.5,105.0,0.8821428571428571,1.0,0.0,125.00000000000001,1.5,0.011999999999999999,0.0,0.0,16.5,0.0,17.26027397260274,0.0,0.0,1430.0,12.0,1117.5,80.0,0.0,0.0,0.0,2639.5,2513.809523809524,"[""BASE_TOTAL_SERVICE""]"
2037,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",190.00000000000003,135.0,166.31333333333336,135.0,0.8753333333333333,1.0,0.0,168.33333333333334,2.0199999999999996,0.011999999999999997,0.0,0.0,23.68666666666666,0.0,23.42465753424658,0.0,0.0,0,12.0,1410.0000000000002,100.5,0.0,0.0,0.0,1522.5000000000002,1380.9523809523812,"[""BASE_TOTAL_SERVICE""]"
2038,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",250.00000000000003,170.0,242.91333333333333,170.0,0.9716533333333331,1.0,0.0,263.33333333333326,3.1599999999999993,0.012,0.0,17.26000000000002,7.086666666666666,0.0,30.821917808219183,0.0,0.0,0,82.0,1696.5,108.25,0.0,4.980400000000003,0.0,1891.7304,1634.1478458049885,[]
2039,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",320.0,210.0,320.00000000000006,210.0,1.0000000000000002,1.0,17.26000000000002,325.0,3.8999999999999995,0.011999999999999999,0.0,18.35999999999996,0.0,0.0,39.45205479452055,17.26000000000002,19.68718750000002,0,82.0,1936.5,111.5,0.0,10.0568,0.0,2140.0568,1760.630025555195,[]
2040,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",390.0,250.00000000000003,390.00000000000006,250.00000000000003,1.0000000000000002,1.0,18.35999999999996,376.6666666666667,4.5200000000000005,0.012,0.0,0.5066666666666322,0.0,0.0,48.082191780821915,18.35999999999996,17.183076923076886,0,82.0,2294.5,118.0,0.0,3.4327999999999768,0.0,2497.9328,1957.1957108798235,[]
