year,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_in_procurement_mln,holding_mln,initial_stock_procurement_mln,initial_stock_reservation_mln,total_cost_mln,discounted_cost_mln
2035,0,0.0,1270.0,69.5,0.0,6.8488750000000005,400.5000000000001,6.749999999999998,1346.348875,1346.348875
2036,1430.0,12.0,1117.5,80.0,0.0,0.0,0.0,0.0,2639.5,2513.809523809524
2037,0,12.0,1410.0000000000002,100.5,0.0,0.0,0.0,0.0,1522.5000000000002,1380.9523809523812
2038,0,82.0,1696.5,108.25,0.0,4.980400000000003,0.0,0.0,1891.7304,1634.1478458049885
2039,0,82.0,1936.5,111.5,0.0,10.0568,0.0,0.0,2140.0568,1760.630025555195
2040,0,82.0,2294.5,118.0,0.0,3.4327999999999768,0.0,0.0,2497.9328,1957.1957108798235
