year,horizon_scope,provenance_status,year_provenance,demand_total_t,demand_critical_t,served_total_t,served_critical_t,total_service_level,critical_service_level,opening_inventory_t,gross_supply_t,losses_t,losses_divided_by_throughput,overflow_t,closing_inventory_t,shortage_t,critical_shortage_t,reserve_requirement_t,reserve_actual_t,reserve_actual_days,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_mln,holding_mln,initial_stock_cost_mln,total_cost_mln,discounted_cost_mln,violations
2035,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",99.99999999999999,80.0,100.00000000000001,80.0,1.0000000000000002,1.0,60.0000000000095,60.0,2.6999999999999997,0.045,0.0,17.300000000009504,0.0,0.0,12.328767123287669,60.0000000000095,219.00000000003473,1610.0,0.0,1934.52879581158,95.85000000000001,0.0,20.952000000006844,417.8787958115801,3661.330795811587,3661.330795811587,[]
2036,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",140.0,105.0,140.0,105.0,1.0,1.0,17.300000000009504,153.33333333333334,1.8399999999999999,0.011999999999999999,0.0,28.793333333342844,0.0,0.0,17.26027397260274,17.300000000009504,45.103571428596204,180.0,12.0,974.5,68.25,0.0,23.312000000006847,0.0,1258.062000000007,1198.1542857142922,[]
2037,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",190.00000000000003,135.0,190.00000000000003,135.0,1.0,1.0,28.793333333342844,199.66666666626662,2.3959999999952,0.012000000000000004,0.0,36.06399999961426,0.0,0.0,23.42465753424658,28.793333333342844,55.31350877194808,0,12.0,1332.79999999716,88.5,0.0,22.321119999876412,0.0,1455.6211199970364,1320.2912653034343,[]
2038,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",250.00000000000003,170.0,250.0,170.0,0.9999999999999999,1.0,36.06399999961426,261.83333333333326,3.142,0.012000000000000004,0.0,44.75533333294763,0.0,0.0,30.821917808219183,36.06399999961426,52.65343999943682,0,82.0,1630.6000000000001,94.5,0.0,26.615079999722283,0.0,1833.7150799997223,1584.0320310979134,[]
2039,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",351.99999999999994,231.00000000000003,352.0,231.00000000000003,1.0000000000000002,1.0,44.75533333294763,332.7833333333333,3.9934000000000007,0.012000000000000004,0.0,21.545266666280977,0.0,0.0,43.3972602739726,44.75533333294763,46.40822916626673,0,82.0,1951.9000000028398,105.0,0.0,21.936675999722297,0.0,2160.8366760025624,1777.7256809683718,[]
2040,OFFICIAL_CASE_HORIZON,CASE_INPUT,"{""scope"": ""OFFICIAL_CASE_HORIZON"", ""source"": ""data/demand.csv"", ""status"": ""CASE_INPUT""}",429.00000000000006,274.99999999999994,403.4566666658856,274.99999999999994,0.9404584304566097,1.0,21.545266666280977,386.5499999996,4.6385999999952,0.011999999999999999,0.0,0.0,25.543333334114386,0.0,52.89041095890412,21.545266666280977,18.331054389726237,0,82.0,1039.99999999716,30.0,0.0,2.917415999876098,0.0,1154.9174159970362,904.9080155438161,"[""BASE_TOTAL_SERVICE""]"
