year,demand_total_t,demand_critical_t,served_total_t,served_critical_t,total_service_level,critical_service_level,opening_inventory_t,gross_supply_t,losses_t,losses_divided_by_throughput,overflow_t,closing_inventory_t,shortage_t,critical_shortage_t,reserve_requirement_t,reserve_actual_t,reserve_actual_days,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_mln,holding_mln,initial_stock_cost_mln,total_cost_mln,discounted_cost_mln,violations
2035,99.99999999999999,80.0,100.00000000000001,80.0,1.0000000000000002,1.0,60.0000000000095,60.0,2.6999999999999997,0.045,0.0,17.300000000009504,0.0,0.0,12.328767123287669,60.0000000000095,219.00000000003473,1610.0,0.0,1934.5287958115805,95.85000000000002,0.0,20.952000000006844,417.8787958115801,3661.3307958115874,3661.3307958115874,[]
2036,140.0,105.0,140.0,105.0,1.0,1.0,17.300000000009504,153.33333333333334,1.8399999999999999,0.011999999999999999,0.0,28.793333333342844,0.0,0.0,17.26027397260274,17.300000000009504,45.103571428596204,180.0,12.0,974.5000000000003,68.25000000000001,0.0,23.312000000006847,0.0,1258.0620000000074,1198.1542857142927,[]
2037,190.00000000000003,135.0,190.00000000000003,135.0,1.0,1.0,28.793333333342844,199.66666666626662,2.3959999999952,0.012000000000000004,0.0,36.06399999961426,0.0,0.0,23.42465753424658,28.793333333342844,55.31350877194808,0,12.0,1332.7999999971603,88.50000000000001,0.0,22.321119999876412,0.0,1455.6211199970367,1320.2912653034346,[]
2038,250.00000000000003,170.0,209.12866666628094,164.09026666628094,0.8365146666651236,0.965236862742829,36.06399999961426,175.16666666666663,2.1019999999999994,0.011999999999999999,0.0,0.0,40.87133333371911,5.909733333719071,30.821917808219183,36.06399999961426,52.65343999943682,0,82.0,2609.6000000000004,111.00000000000001,0.0,2.5487999999421396,0.0,2805.1487999999426,2423.1930029154023,"[""BASE_CRITICAL_SERVICE"", ""BASE_TOTAL_SERVICE""]"
2039,320.0,210.0,320.00000000000006,210.0,1.0000000000000002,1.0,0.0,369.4499999999999,4.433400000000001,0.012000000000000005,0.0,45.0165999999999,0.0,0.0,39.45205479452055,0.0,0.0,0,82.0,1951.9000000028402,105.00000000000003,0.0,22.968835999999957,0.0,2161.8688360028405,1778.5748415549817,[]
2040,390.0,250.00000000000003,390.00000000000006,250.00000000000003,1.0000000000000002,1.0,45.0165999999999,386.5499999996,4.6385999999952,0.011999999999999999,0.0,36.92799999960462,0.0,0.0,48.082191780821915,45.0165999999999,42.13092051282042,0,82.0,1039.99999999716,29.999999999999993,0.0,28.477475999857635,0.0,1180.4774759970178,924.9349913703055,[]
