year,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_in_procurement_mln,holding_mln,initial_stock_procurement_mln,initial_stock_reservation_mln,total_cost_mln,discounted_cost_mln
2035,1610.0,0.0,1934.52879581158,95.85000000000001,0.0,20.952000000006844,389.5287958115801,28.35000000000001,3661.330795811587,3661.330795811587
2036,180.0,12.0,974.5,68.25,0.0,23.312000000006847,0.0,0.0,1258.062000000007,1198.1542857142922
2037,0,12.0,1332.79999999716,88.5,0.0,22.321119999876412,0.0,0.0,1455.6211199970364,1320.2912653034343
2038,0,82.0,1630.6000000000001,94.5,0.0,8.951393999872712,0.0,0.0,1816.0513939998727,1568.7734750025893
2039,0,82.0,1951.9000000028398,105.0,0.0,4.285203999999984,0.0,0.0,2143.18520400284,1763.2037712704805
2040,0,82.0,1039.99999999716,30.0,0.0,5.4466439998576615,0.0,0.0,1157.4466439970179,906.8897318627664
