value,run_id,valid,total_demand_t,critical_demand_t,total_cost_mln,discounted_cost_mln,total_service_level,critical_service_level,total_shortage_t,critical_shortage_t,minimum_inventory_t,final_inventory_t,hard_violation_count,violations,multipliers_by_year
LOW,run-8e29c49931ec831d,False,1112.0,760.0,10796.495226311883,9840.610060352345,1.0,1.0,0.0,0.0,34.74885844748857,90.75,44,"[{""actual"": 120.35419178082184, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 0.3541917808218358, ""human_message"": ""Inventory after arrival would be 120.354 t; capacity is 120.000 t and 0.354 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2037-03"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 123.16666666666666, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 3.166666666666657, ""human_message"": ""Inventory after arrival would be 123.167 t; capacity is 120.000 t and 3.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2037-04"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 123.16666666666666, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 3.166666666666657, ""human_message"": ""Inventory after arrival would be 123.167 t; capacity is 120.000 t and 3.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2037-05"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 123.16666666666666, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 3.166666666666657, ""human_message"": ""Inventory after arrival would be 123.167 t; capacity is 120.000 t and 3.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2037-06"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 123.16666666666666, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 3.166666666666657, ""human_message"": ""Inventory after arrival would be 123.167 t; capacity is 120.000 t and 3.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2037-07"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 123.16666666666666, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 3.166666666666657, ""human_message"": ""Inventory after arrival would be 123.167 t; capacity is 120.000 t and 3.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2037-08"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 123.16666666666666, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 3.166666666666657, ""human_message"": ""Inventory after arrival would be 123.167 t; capacity is 120.000 t and 3.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2037-09"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 123.16666666666666, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 3.166666666666657, ""human_message"": ""Inventory after arrival would be 123.167 t; capacity is 120.000 t and 3.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2037-10"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 123.16666666666666, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 3.166666666666657, ""human_message"": ""Inventory after arrival would be 123.167 t; capacity is 120.000 t and 3.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2037-11"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 122.59666666666666, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 2.596666666666664, ""human_message"": ""Inventory after arrival would be 122.597 t; capacity is 120.000 t and 2.597 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2037-12"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 128.16666666666666, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 8.166666666666657, ""human_message"": ""Inventory after arrival would be 128.167 t; capacity is 120.000 t and 8.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2038-01"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 124.16666666666667, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 4.166666666666671, ""human_message"": ""Inventory after arrival would be 124.167 t; capacity is 120.000 t and 4.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2038-02"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 124.16666666666667, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 4.166666666666671, ""human_message"": ""Inventory after arrival would be 124.167 t; capacity is 120.000 t and 4.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2038-03"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 124.16666666666667, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 4.166666666666671, ""human_message"": ""Inventory after arrival would be 124.167 t; capacity is 120.000 t and 4.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2038-04"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 124.16666666666667, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 4.166666666666671, ""human_message"": ""Inventory after arrival would be 124.167 t; capacity is 120.000 t and 4.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2038-05"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 124.16666666666667, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 4.166666666666671, ""human_message"": ""Inventory after arrival would be 124.167 t; capacity is 120.000 t and 4.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2038-06"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 124.16666666666667, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 4.166666666666671, ""human_message"": ""Inventory after arrival would be 124.167 t; capacity is 120.000 t and 4.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2038-07"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 124.16666666666669, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 4.166666666666686, ""human_message"": ""Inventory after arrival would be 124.167 t; capacity is 120.000 t and 4.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2038-08"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 124.16666666666667, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 4.166666666666671, ""human_message"": ""Inventory after arrival would be 124.167 t; capacity is 120.000 t and 4.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2038-09"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 124.16666666666667, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 4.166666666666671, ""human_message"": ""Inventory after arrival would be 124.167 t; capacity is 120.000 t and 4.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2038-10"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 124.16666666666667, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 4.166666666666671, ""human_message"": ""Inventory after arrival would be 124.167 t; capacity is 120.000 t and 4.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2038-11"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 124.16666666666667, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 4.166666666666671, ""human_message"": ""Inventory after arrival would be 124.167 t; capacity is 120.000 t and 4.167 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2038-12"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 130.0, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 10.0, ""human_message"": ""Inventory after arrival would be 130.000 t; capacity is 120.000 t and 10.000 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2039-01"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 125.33333333333334, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 5.333333333333343, ""human_message"": ""Inventory after arrival would be 125.333 t; capacity is 120.000 t and 5.333 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2039-02"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 125.33333333333334, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 5.333333333333343, ""human_message"": ""Inventory after arrival would be 125.333 t; capacity is 120.000 t and 5.333 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2039-03"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 125.33333333333334, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 5.333333333333343, ""human_message"": ""Inventory after arrival would be 125.333 t; capacity is 120.000 t and 5.333 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2039-04"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 125.33333333333334, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 5.333333333333343, ""human_message"": ""Inventory after arrival would be 125.333 t; capacity is 120.000 t and 5.333 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2039-05"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 125.33333333333334, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 5.333333333333343, ""human_message"": ""Inventory after arrival would be 125.333 t; capacity is 120.000 t and 5.333 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2039-06"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 125.33333333333334, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 5.333333333333343, ""human_message"": ""Inventory after arrival would be 125.333 t; capacity is 120.000 t and 5.333 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2039-07"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 125.33333333333334, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 5.333333333333343, ""human_message"": ""Inventory after arrival would be 125.333 t; capacity is 120.000 t and 5.333 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2039-08"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 125.33333333333334, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 5.333333333333343, ""human_message"": ""Inventory after arrival would be 125.333 t; capacity is 120.000 t and 5.333 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2039-09"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 125.33333333333334, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 5.333333333333343, ""human_message"": ""Inventory after arrival would be 125.333 t; capacity is 120.000 t and 5.333 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2039-10"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 125.33333333333334, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 5.333333333333343, ""human_message"": ""Inventory after arrival would be 125.333 t; capacity is 120.000 t and 5.333 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2039-11"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 125.33333333333334, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 5.333333333333343, ""human_message"": ""Inventory after arrival would be 125.333 t; capacity is 120.000 t and 5.333 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2039-12"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 127.91666666666667, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 7.916666666666671, ""human_message"": ""Inventory after arrival would be 127.917 t; capacity is 120.000 t and 7.917 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2040-01"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 123.25, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 3.25, ""human_message"": ""Inventory after arrival would be 123.250 t; capacity is 120.000 t and 3.250 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2040-02"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 126.5, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 6.5, ""human_message"": ""Inventory after arrival would be 126.500 t; capacity is 120.000 t and 6.500 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2040-03"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 126.5, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 6.5, ""human_message"": ""Inventory after arrival would be 126.500 t; capacity is 120.000 t and 6.500 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2040-04"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 126.5, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 6.5, ""human_message"": ""Inventory after arrival would be 126.500 t; capacity is 120.000 t and 6.500 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2040-05"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 125.356, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 5.3559999999999945, ""human_message"": ""Inventory after arrival would be 125.356 t; capacity is 120.000 t and 5.356 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2040-06"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 123.25, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 3.25, ""human_message"": ""Inventory after arrival would be 123.250 t; capacity is 120.000 t and 3.250 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2040-07"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 123.25, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 3.25, ""human_message"": ""Inventory after arrival would be 123.250 t; capacity is 120.000 t and 3.250 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2040-08"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 123.25, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 3.25, ""human_message"": ""Inventory after arrival would be 123.250 t; capacity is 120.000 t and 3.250 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2040-09"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}, {""actual"": 120.44200000000001, ""code"": ""STORAGE_CAPACITY_EXCEEDED"", ""constraint_id"": ""STRUCTURAL_STORAGE_CAPACITY"", ""excess_or_gap"": 0.4420000000000073, ""human_message"": ""Inventory after arrival would be 120.442 t; capacity is 120.000 t and 0.442 t is unaccepted."", ""limit"": 120.0, ""operator"": ""<="", ""period"": ""2040-10"", ""reason"": ""Post-loss inflow does not fit in active storage."", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""t""}]","{""2035"": 0.8, ""2036"": 0.8, ""2037"": 0.8, ""2038"": 0.8, ""2039"": 0.8, ""2040"": 0.8}"
BASE,run-15b50d5c5607b552,True,1390.0,950.0,10609.051509873529,9678.56148367706,1.0,1.0,0.0,0.0,9.915525114155358,9.915525114155358,0,[],"{""default"": 1.0}"
HIGH,run-254e96370c91cb2f,False,1673.0,1139.5,10471.453092887226,9560.67861568753,0.8367695906241214,0.9970747403832091,273.0844748858449,3.333333333333343,0.0,0.0,7,"[{""actual"": 0.8211760803652965, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.14882391963470343, ""human_message"": ""Total service is 82.12%; shortage is 55.882 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2038"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 7.729269333333252, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 37.27073066666675, ""human_message"": ""Reserve equivalence is 7.729 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2038-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.8, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.16999999999999993, ""human_message"": ""Total service is 80.00%; shortage is 80.000 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2039"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2039-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}, {""actual"": 0.9893333333333334, ""code"": ""BASE_CRITICAL_SERVICE"", ""constraint_id"": ""BASE_CRITICAL_SERVICE"", ""excess_or_gap"": 0.0006666666666665932, ""human_message"": ""Critical service is 98.93%; shortage is 3.333 t."", ""limit"": 0.99, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""critical demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.71856, ""code"": ""BASE_TOTAL_SERVICE"", ""constraint_id"": ""BASE_TOTAL_SERVICE"", ""excess_or_gap"": 0.25144, ""human_message"": ""Total service is 71.86%; shortage is 137.202 t."", ""limit"": 0.97, ""operator"": "">="", ""period"": ""2040"", ""reason"": ""total demand service minimum"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""share""}, {""actual"": 0.0, ""code"": ""RESERVE_45D"", ""constraint_id"": ""RESERVE_45D"", ""excess_or_gap"": 45.0, ""human_message"": ""Reserve equivalence is 0.000 days; required 45.000 days."", ""limit"": 45.0, ""operator"": "">="", ""period"": ""2040-01"", ""reason"": ""physical stock or demonstrably equivalent contracted emergency reserve"", ""scenario"": ""BASE"", ""severity"": ""hard"", ""source_id"": null, ""unit"": ""days""}]","{""2035"": 1.1, ""2036"": 1.1, ""2037"": 1.1, ""2038"": 1.25, ""2039"": 1.25, ""2040"": 1.25}"
