year,capex_mln,fixed_opex_mln,procurement_mln,reservation_mln,take_or_pay_effect_in_procurement_mln,holding_mln,initial_stock_procurement_mln,initial_stock_reservation_mln,total_cost_mln,discounted_cost_mln
2035,1250.0,0.0,2256.143126918417,115.0415203727555,0.0,29.119178082191798,312.1566377393674,22.656530158502473,3650.3038253733644,3650.3038253733644
2036,180.0,12.0,1178.0000000000002,85.5,0.0,29.377098082191832,0.0,0.0,1484.877098082192,1414.1686648401828
2037,0,12.0,840.22975708502,60.126012145808964,0.0,36.11791808219184,0.0,0.0,948.4736873130208,860.2935939347127
2038,0,82.0,1538.0000000000002,85.5,0.0,35.72461808219185,0.0,0.0,1741.2246180821921,1504.1352925880074
2039,0,82.0,1543.791093117409,79.032995951477,0.0,35.72461808219185,0.0,0.0,1740.548707151078,1431.9537288690021
2040,0,82.0,925.6184210526314,9.5328947368571,0.0,26.472258082191853,0.0,0.0,1043.6235738716805,817.7063780717903
